driver_name,points,podiums,wins,pole_positions,fastest_laps,laps_raced,km_raced,laps_led,best_result,best_grid_pos,world_championships
Zhou Guanyu,6,0,0,0,1,1244,6323,0,9,5,0
Valtteri Bottas,10,0,0,0,0,1229,6207,0,8,2,0
Nyck de Vries,0,0,0,0,0,561,2739,0,12,12,0
Daniel Ricciardo,6,0,0,0,0,417,2137,0,7,4,0
Liam Lawson,2,0,0,0,0,293,1514,0,9,10,0
Yuki Tsunoda,17,0,0,0,1,1202,6047,5,8,6,0
Pierre Gasly,62,1,0,0,0,1248,6352,0,3,4,0
Esteban Ocon,58,1,0,0,0,1112,5599,0,3,3,0
Fernando Alonso,206,8,0,0,1,1294,6558,3,2,2,2
Lance Stroll,74,0,0,0,0,1165,5883,0,4,3,0
Charles Leclerc,206,6,0,5,0,1147,5859,41,2,1,0
Carlos Sainz Jr.,200,6,1,2,0,1246,6239,77,1,1,0
Kevin Magnussen,3,0,0,0,0,1169,5989,0,10,4,0
Nico Hülkenberg,9,0,0,0,0,1250,6362,0,7,5,0
Lando Norris,205,7,0,0,1,1273,6384,30,2,2,0
Oscar Piastri,97,2,0,0,2,1185,5874,1,2,2,0
Lewis Hamilton,234,6,0,1,4,1268,6391,13,2,1,7
George Russel,175,2,0,0,1,1252,6344,6,3,2,0
Max Verstappen,575,21,19,12,9,1325,6700,1003,1,1,3
Sergio Pérez,285,9,2,2,2,1215,6172,146,1,1,0
Logan Sargeant,1,0,0,0,0,1142,5843,0,10,6,0
Alexander Albon,27,0,0,0,0,1149,5809,0,7,4,0
