round,grand_prix,country,continent,circuit,laps,race_date,first_place,second_place,third_place,fastest_lap,fastest_lap_time
1,Bahrain Grand Prix,Bahrain,ASIA,Bahrain International Circuit,57,2023-03-05,Max Verstappen,Sergio Pére,Fernando Alonso,Zhou Guanyu,1:33.996
2,Saudi Arabian Grand Prix,Saudi Arabia,ASIA,Jeddah Corniche Circuit,50,2023-03-19,Sergio Pére,Max Verstappen,Fernando Alonso,Max Verstappen,1:31.906
3,Australian Grand Prix,Australia,OCEANIA,Albert Park Circuit,58,2023-04-02,Max Verstappen,Lewis Hamilton,Fernando Alonso,Sergio Pérez,1:20.235
4,Azerbaijan Grand Prix,Azerbaijan,ASIA,Baku City Circuit,51,2023-04-30,Sergio Pére,Max Verstappen,Charles Leclerc,George Russel,1:43.370
5,Miami Grand Prix,United States of America,AMERICA,Miami International Autodrome,57,2023-05-07,Max Verstappen,Sergio Pére,Fernando Alonso,Max Verstappen,1:29.708
6,Emilia Romagna Grand Prix,Italy,EUROPE,Autodromo Internazionale Enzo e Dino Ferrari,63,2023-05-21,NULL,NULL,NULL,NULL,NULL
7,Monaco Grand Prix,Monaco,EUROPE,Circuit de Monaco,78,2023-05-28,Max Verstappen,Fernando Alonso,Esteban Ocon,Lewis Hamilton,1:15.650
8,Spanish Grand Prix,Spain,EUROPE,Circuit de Barcelona-Catalunya,66,2023-06-04,Max Verstappen,Lewis Hamilton,George Russel,Max Verstappen,1:16.330
9,Canadian Grand Prix,Canada,AMERICA,Curcuit Gilles Villeneuve,70,2023-06-18,Max Verstappen,Fernando Alonso,Lewis Hamilton,Sergio Pérez,1:14.481
10,Austrian Grand Prix,Austria,EUROPE,Red Bull Ring,71,2023-07-02,Max Verstappen,Charles Leclerc,Sergio Pére,Max Verstappen,1:07.012
11,British grand Prix,United Kingdom,EUROPE,Silverstone Circuit,52,2023-07-09,Max Verstappen,Lando Norris,Lewis Hamilton,Max Verstappen,1:30.275
12,Hungarian Grand Prix,Hungary,EUROPE,Hungaroring,70,2023-07-23,Max Verstappen,Lando Norris,Sergio Pére,Max Verstappen,1:20.504
13,Belgian Grand Prix,Belgium,EUROPE,Circuit de Spa-Francorchamps,44,2023-07-30,Max Verstappen,Sergio Pére,Charles Leclerc,Lewis Hamilton,1:47.305
14,Dutch Grand Prix,Netherlands,EUROPE,Curcuit Zandvoort,72,2023-08-27,Max Verstappen,Fernando Alonso,Pierre Gasly,Fernando Alonso,1:13.837
15,Italian Grand Prix,Italy,EUROPE,Monza Circuit,51,2023-09-03,Max Verstappen,Sergio Pére,Carlos Sainz Jr.,Oscar Piastri,1:25.072
16,Singapore Grand Prix,Singapore,ASIA,Marina Bay Street Circuit,62,2023-09-17,Carlos Sainz,Lando Norris,Lewis Hamilton,Lewis Hamilton,1:35.867
17,Japanese Grand Prix,Japan,ASIA,Suzuka International Racing Course,53,2023-09-24,Max Verstappen,Lando Norris,Oscar Piastri,Max Verstappen,1:34.183
18,Qatar Grand Prix,Qatar,ASIA,Lusail International Circuit,57,2023-10-08,Max Verstappen,Oscar Piastri,Lando Norris,Max Verstappen,1:24.319
19,United States Grand Prix,United States of America,AMERICA,Circuit of the Americas,56,2023-10-22,Max Verstappen,Lando Norris,Carlos Sainz Jr.,Yuki Tsunoda,1:38.139
20,Mexico City Grand Prix,Mexico,AMERICA,Autódromo Hermanos Rodrígu,71,2023-10-29,Max Verstappen,Lewis Hamilton,Charles Leclerc,Lewis Hamilton,1:21.334
21,São Paulo Grand Pri,Brazil,AMERICA,Interlagos Circuit,71,2023-11-05,Max Verstappen,Lando Norris,Fernando Alonso,Lando Norris,1:12.486
22,Las Vegas Grand Prix,United States of America,AMERICA,Las Vegas Strip Circuit,50,2023-11-18,Max Verstappen,Charles Leclerc,Sergio Pére,Oscar Piastri,1:35.490
23,Abu Dhabi Grand Prix,United Arab Emirates,ASIA,Yas Marina Circuit,58,2023-11-26,Max Verstappen,Charles Leclerc,George Russel,Max Verstappen,1:26.993
