grand_prix,first_place,second_place,third_place,fastest_lap,fastest_lap_time
Bahrain Grand Prix,Max Verstappen,Sergio Pérez,Fernando Alonso,Zhou Guanyu,1:33.996
Saudi Arabian Grand Prix,Sergio Pérez,Max Verstappen,Fernando Alonso,Max Verstappen,1:31.906
Australian Grand Prix,Max Verstappen,Lewis Hamilton,Fernando Alonso,Sergio Pérez,1:20.235
Azerbaijan Grand Prix,Sergio Pérez,Max Verstappen,Charles Leclerc,George Russel,1:43.370
Miami Grand Prix,Max Verstappen,Sergio Pérez,Fernando Alonso,Max Verstappen,1:29.708
Emilia Romagna Grand Prix,NULL,NULL,NULL,NULL,NULL
Monaco Grand Prix,Max Verstappen,Fernando Alonso,Esteban Ocon,Lewis Hamilton,1:15.650
Spanish Grand Prix,Max Verstappen,Lewis Hamilton,George Russel,Max Verstappen,1:16.330
Canadian Grand Prix,Max Verstappen,Fernando Alonso,Lewis Hamilton,Sergio Pérez,1:14.481
Austrian Grand Prix,Max Verstappen,Charles Leclerc,Sergio Pérez,Max Verstappen,1:07.012
British grand Prix,Max Verstappen,Lando Norris,Lewis Hamilton,Max Verstappen,1:30.275
Hungarian Grand Prix,Max Verstappen,Lando Norris,Sergio Pérez,Max Verstappen,1:20.504
Belgian Grand Prix,Max Verstappen,Sergio Pérez,Charles Leclerc,Lewis Hamilton,1:47.305
Dutch Grand Prix,Max Verstappen,Fernando Alonso,Pierre Gasly,Fernando Alonso,1:13.837
Italian Grand Prix,Max Verstappen,Sergio Pérez,Carlos Sainz Jr.,Oscar Piastri,1:25.072
Singapore Grand Prix,Carlos Sainz,Lando Norris,Lewis Hamilton,Lewis Hamilton,1:35.867
Japanese Grand Prix,Max Verstappen,Lando Norris,Oscar Piastri,Max Verstappen,1:34.183
Qatar Grand Prix,Max Verstappen,Oscar Piastri,Lando Norris,Max Verstappen,1:24.319
United States Grand Prix,Max Verstappen,Lando Norris,Carlos Sainz Jr.,Yuki Tsunoda,1:38.139
Mexico City Grand Prix,Max Verstappen,Lewis Hamilton,Charles Leclerc,Lewis Hamilton,1:21.334
S�o Paulo Grand Prix,Max Verstappen,Lando Norris,Fernando Alonso,Lando Norris,1:12.486
Las Vegas Grand Prix,Max Verstappen,Charles Leclerc,Sergio Pérez,Oscar Piastri,1:35.490
Abu Dhabi Grand Prix,Max Verstappen,Charles Leclerc,George Russel,Max Verstappen,1:26.993
